fips.x,Province_State,mean_pm25,mean_winter_temp,mean_summer_temp,mean_winter_rm,mean_summer_rm,Admin2,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case.Fatality_Ratio,X,year.x,poverty,popdensity,medianhousevalue,pct_blk,medhouseholdincome,pct_owner_occ,hispanic,education,population,pct_asian,pct_native,pct_white,q_popdensity,smoke_rate,mean_bmi,year.y,Population,Crude.Rate,older_Population,older_pecent,state,date,positive,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips.y,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,Abbrev,population_frac_county,totalTestResults_county,beds,
1001,Alabama,11.71258705,288.0850909,306.023451,85.65184499,96.05541747,Autauga,US,8/8/20 4:34,32.53952745,-86.64408227,1065,21,0,1044,"Autauga, Alabama, US",1906.244966,1.971830986,16040,2016,0.04557057,201.040355,105021.1111,0.263015817,46433.83333,0.771370735,0.01628478,0.286126426,53708,0.004005085,0.001698223,0.708364519,3,0.43902439,28.70950617,2012,918492,859.3,109652,0.11938264,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.0111147,8290.921912,NA,
1003,Alabama,10.07772305,290.2088608,305.5166332,89.73097231,97.97154375,Baldwin,US,8/8/20 4:34,30.72774991,-87.72207058,3443,23,0,3420,"Baldwin, Alabama, US",1542.327782,0.668022074,16490,2016,0.094226935,217.4156265,158367.1587,0.097384809,45903.37778,0.784618938,0.031128382,0.174484679,199123,0.004191262,0.010138084,0.866798861,3,0.486404834,27.07555556,2012,3102984,976.2,526184,0.169573546,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.041207874,30738.68407,NA,96
1005,Alabama,10.98196705,289.2421072,306.0622486,88.63357171,97.37167482,Barbour,US,8/8/20 4:34,31.868263,-85.3871286,569,5,0,564,"Barbour, Alabama, US",2304.950174,0.878734622,16120,2016,0.210081479,33.8891,82200,0.474787749,33020.25,0.696278375,0.039704987,0.396694128,25303,0.002031835,0.001576189,0.485012533,2,0.506849315,29.81541667,2012,499262,1040.9,71542,0.143295504,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.005236376,3906.032568,NA,
1007,Alabama,11.99871473,287.3628325,305.982177,86.48586611,96.29307694,Bibb,US,8/8/20 4:34,32.99642064,-87.1251146,416,4,0,412,"Bibb, Alabama, US",1857.640439,0.961538462,15581,2016,0.091389286,39.08677925,99318.56177,0.133431042,43257,0.803954704,0.058360833,0.26903339,22696,0.000533537,0.006185919,0.850112064,2,0.402985075,29.23890625,2012,397470,1028.8,51438,0.129413541,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.004696865,3503.589106,NA,
1009,Alabama,11.79302254,285.5656757,305.1788646,85.4491388,94.63094868,Blount,US,8/8/20 4:34,33.98210918,-86.56790593,774,3,0,771,"Blount, Alabama, US",1338.498253,0.387596899,15509,2016,0.086405089,282.1519113,103779.4118,0.009831209,41491.08333,0.700121814,0.178954015,0.356165084,44029,0.001500836,0.002940571,0.971844783,4,0.528571429,28.35768116,2012,997531,993.7,146136,0.146497703,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.009111662,6796.771447,NA,
1011,Alabama,11.31355676,288.6913288,305.8677188,89.1681225,97.13842046,Bullock,US,8/8/20 4:34,32.10030533,-85.71265535,454,11,0,443,"Bullock, Alabama, US",4494.604495,2.422907489,16156,2016,0.273640798,14.49910325,87500,0.801096044,32392,0.809504912,0.000431435,0.550204549,10903,0.004077341,0.000298686,0.168215034,1,NA,NA,NA,197588,1166.6,27577,0.139568192,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.002256341,1683.099754,NA,
1013,Alabama,10.80414611,289.3199501,306.1584924,88.41467891,97.1173997,Butler,US,8/8/20 4:34,31.75300095,-86.68057478,759,35,0,724,"Butler, Alabama, US",3902.714932,4.611330698,16166,2016,0.136124816,18.36076575,63750,0.387741862,32453.25,0.782217587,0.005885141,0.230427591,19848,0.003666378,0.001322567,0.598256783,1,0.5,30.14581818,2012,374201,1332.4,63124,0.168690089,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.004107481,3063.942394,NA,
1015,Alabama,12.30684977,286.0322867,305.1069784,86.58536346,96.38513365,Calhoun,US,8/8/20 4:34,33.77483727,-85.82630386,1704,13,0,1691,"Calhoun, Alabama, US",1499.933982,0.762910798,16238,2016,0.108199633,333.254175,127720,0.161796097,46977.2,0.725282788,0.036268045,0.220313884,108488,0.008144199,0.004126935,0.785711105,4,0.462897527,28.19311594,2012,2073654,1170.5,303171,0.146201343,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.022451248,16747.32882,NA,
1017,Alabama,11.42308266,287.5812197,305.6673526,87.76759871,96.23720963,Chambers,US,8/8/20 4:34,32.91360079,-85.39072749,835,38,0,797,"Chambers, Alabama, US",2510.976123,4.550898204,16606,2016,0.140610682,88.09215833,102733.3333,0.361951031,37719,0.748886892,0.003915306,0.334165561,39200,0.015131068,0.003437746,0.606114047,3,0.378787879,29.47430769,2012,628820,1325.2,105417,0.167642569,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.008112316,6051.317103,NA,
1019,Alabama,12.17633443,285.2225696,305.2567209,87.75722354,96.03808884,Cherokee,US,8/8/20 4:34,34.17805983,-85.60638968,263,7,0,256,"Cherokee, Alabama, US",1003.970072,2.661596958,16004,2016,0.135306723,56.265644,105260,0.043847885,38159,0.787454961,0.02013682,0.292013899,34226,0.004337822,0.004035717,0.935412509,2,0.405405405,28.06764706,2012,454744,1204.9,81645,0.179540577,AL,20200807,98301,651115,NA,745942,1403,11537,NA,1219,NA,658,37923,B,8/7/20 11:00,2020-08-07T11:00:00Z,8/7/20 7:00,1735,11537,745942,NA,NA,94827,1674,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1709,7923,749416,posNeg,9348,749416,21,224,e25e320ea1bbb84d823d9d68b926ba274470f99f,0,0,0,0,0,NA,Ala.,0.007082962,5283.47906,NA,
